CDRenewal,CDNumber,MaturingTerm,MaturingTermGrouping,MaturingBalance,TimeRenewed,CDAge,BA_STATE,CustomerTenure,LifeStageGroupCat,LifeStageGroupSubcat,PsycleCodeDescrip,TRAN_COUNT,TRAN_BALANCE,AdditCDCount,LOAN_COUNT,LOAN_BALANCE,POB_INT,MB_INT,IVR_INT,FF,CDAdvertisingSpend,BankAdvertisingSpend,RateSpread
1,MOCKACCT000000000028,12,7-15 months,261182.83,4,5,TX,5,Mature Years,M2 Wealthy Achievers,IRA Enthusiast,0,0,3,0,0,0,0,0,0.6,0,0,1.09338
1,MOCKACCT000000000029,18,16-24 months,213736,0,1,FL,8,Mature Years,M1 Financial Elite,Golden Agers,1,343039.36,2,0,0,0,0,1,0.6,0,0,1.4921
1,MOCKACCT000000000030,18,16-24 months,50889.5,0,1,FL,1,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,1,0,0,0,0,0,0.6,0,0,1.4921
1,MOCKACCT000000000031,18,16-24 months,178113.24,0,1,FL,1,Mature Years,M1 Financial Elite,Business Class,1,1746.14,5,0,0,0,0,0,0.6,0,0,1.4921
0,MOCKACCT000000000032,10,7-15 months,25234.46,0,0,FL,0,Unassigned,Unassigned,Unassigned,0,0,3,0,0,1,0,0,0.66,0,0,1.1929
0,MOCKACCT000000000033,18,16-24 months,183202.15,0,1,TX,1,Mature Years,M3 Upscale Empty Nests,Leisure Land,0,0,0,0,0,0,0,0,0.66,0,0,1.2955
0,MOCKACCT000000000034,10,7-15 months,10093.78,0,0,TX,0,Mature Years,M1 Financial Elite,Business Class,0,0,1,0,0,0,0,0,0.66,0,0,1.09338
0,MOCKACCT000000000035,18,16-24 months,100522.69,1,6,FL,9,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000036,18,16-24 months,152683.56,0,1,FL,1,Mature Years,M5 Retirement Blues,Unwired Retired,0,0,0,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000037,10,7-15 months,10094.28,0,0,TX,0,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,6,0,0,0,0,0,0.66,0,0,1.09338
0,MOCKACCT000000000038,18,16-24 months,101778.93,0,1,FL,1,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000039,18,16-24 months,101971.82,0,1,FL,1,Unassigned,Unassigned,Unassigned,1,82969.52,1,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000040,10,7-15 months,151406.75,0,0,FL,3,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,2787.44,0,0,0,0,0,1,0.66,0,0,1.1929
0,MOCKACCT000000000041,18,16-24 months,10178.9,0,1,FL,1,Mature Years,M2 Wealthy Achievers,Leasing Luxury,0,0,0,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000042,18,16-24 months,20357.8,0,1,FL,4,Mature Years,M5 Retirement Blues,Superstore Shoppers,1,26031.17,7,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000043,1,<= 6 months,15000,174,14,FL,14,Younger Years,Y1 Upwardly Mobile,McMansions & Merriment,1,20738.54,0,0,0,1,0,1,0.66,0,0,0.1965
1,MOCKACCT000000000044,1,<= 6 months,3040.47,130,10,FL,11,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000045,2,<= 6 months,16000,55,9,TX,10,Mature Years,M1 Financial Elite,Power Couples,0,0,0,0,0,1,0,1,0.66,0,0,0.197666667
1,MOCKACCT000000000046,3,<= 6 months,1844.19,62,15,FL,19,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000047,3,<= 6 months,39064.89,77,19,FL,23,Younger Years,Y2 Metro Mainstream,Striving & Thriving,1,763.94,0,2,67104.03,1,0,1,0.66,0,0,0.1965
1,MOCKACCT000000000048,4,<= 6 months,1067.82,28,9,FL,26,Mature Years,M5 Retirement Blues,Unwired Retired,0,0,0,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000049,4,<= 6 months,39127.59,28,9,FL,15,Family Life,F1 Flourishing Families,School Daze,0,0,0,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000050,4,<= 6 months,21466.91,29,9,FL,18,Mature Years,M4 Midscale Matures,Annuity Street,1,58555.92,1,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000051,6,<= 6 months,10587.07,18,9,FL,35,Mature Years,M4 Midscale Matures,Annuity Street,1,148370.22,0,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000052,6,<= 6 months,40104.09,7,4,FL,10,Mature Years,M4 Midscale Matures,Pensions & Ports,1,522.26,0,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000053,18,16-24 months,15266.85,0,1,FL,2,Mature Years,M1 Financial Elite,Golden Agers,1,200527.93,2,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000054,10,7-15 months,50468.92,0,0,FL,0,Younger Years,Y3 Fiscal Fledglings,Liquid Lessees,0,0,3,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000055,10,7-15 months,50468.92,0,0,FL,1,Mature Years,M4 Midscale Matures,Annuity Street,0,0,1,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000056,10,7-15 months,100920.71,0,0,TX,0,Mature Years,M3 Upscale Empty Nests,Leisure Land,1,40244.3,2,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000057,10,7-15 months,100920.71,0,0,TX,0,Mature Years,M3 Upscale Empty Nests,Leisure Land,1,40244.3,2,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000058,10,7-15 months,100920.71,0,0,TX,0,Mature Years,M3 Upscale Empty Nests,Leisure Land,1,40244.3,2,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000059,18,16-24 months,167810.2,0,1,FL,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,11,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000060,18,16-24 months,20352,0,1,FL,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,11,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000061,18,16-24 months,30818.61,0,1,FL,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,11,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000062,18,16-24 months,121953.45,0,1,FL,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,11,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000063,10,7-15 months,60562.7,0,0,FL,1,Mature Years,M3 Upscale Empty Nests,Comfortably Retired,1,30731.25,1,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000064,10,7-15 months,201875.67,0,0,FL,10,Mature Years,M1 Financial Elite,Business Class,1,216561.12,0,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000065,18,16-24 months,25444.73,0,1,FL,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,0,0,0,0,0,1,0.66,0,0,1.4921
1,MOCKACCT000000000066,18,16-24 months,254447.32,0,1,FL,4,Mature Years,M3 Upscale Empty Nests,Equity Earners,0,0,1,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000067,10,7-15 months,151414.71,0,0,FL,0,Younger Years,Y1 Upwardly Mobile,McMansions & Merriment,1,216868.76,0,0,0,0,0,1,0.66,0,0,1.1929
1,MOCKACCT000000000068,10,7-15 months,50468.92,0,0,FL,10,Mature Years,M1 Financial Elite,Golden Agers,0,0,7,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000069,10,7-15 months,10093.78,0,0,TX,0,Mature Years,M1 Financial Elite,Power Couples,3,185654.81,0,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000070,10,7-15 months,353300.98,0,0,FL,-3,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000071,10,7-15 months,10093.78,0,0,FL,0,Mature Years,M2 Wealthy Achievers,IRA Enthusiast,0,0,0,0,0,0,0,1,0.66,0,0,1.1929
1,MOCKACCT000000000072,10,7-15 months,10094.31,0,0,FL,4,Mature Years,M1 Financial Elite,Power Couples,1,320423.26,2,0,0,1,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000073,18,16-24 months,250000,0,1,TX,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,1,0,0,0,0,1,0.66,0,0,1.2955
1,MOCKACCT000000000074,18,16-24 months,250000,0,1,TX,1,Mature Years,M1 Financial Elite,Golden Agers,0,0,1,0,0,0,0,1,0.66,0,0,1.2955
1,MOCKACCT000000000075,10,7-15 months,454220.25,0,0,FL,3,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,0,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000076,10,7-15 months,201875.67,0,0,TX,1,Younger Years,Y1 Upwardly Mobile,"Work Hard, Play Hard",0,0,1,0,0,1,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000077,10,7-15 months,302813.5,0,0,FL,3,Mature Years,M2 Wealthy Achievers,Leasing Luxury,2,104682.27,0,0,0,1,0,0,0.66,0,0,1.1929
0,MOCKACCT000000000078,10,7-15 months,20187.57,0,0,TX,0,Mature Years,M2 Wealthy Achievers,Capital Accumulators,1,4500.33,2,0,0,0,0,0,0.66,0,0,1.09338
0,MOCKACCT000000000079,10,7-15 months,10093.78,0,0,FL,0,Mature Years,M1 Financial Elite,Golden Agers,0,0,1,0,0,0,0,0,0.66,0,0,1.1929
0,MOCKACCT000000000080,18,16-24 months,10741.87,0,1,FL,8,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000081,10,7-15 months,54506.43,0,0,FL,0,Mature Years,M4 Midscale Matures,Pensions & Ports,0,0,0,0,0,0,0,0,0.66,0,0,1.1929
0,MOCKACCT000000000082,10,7-15 months,200000,0,0,FL,0,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,60.08,0,0,0,0,0,0,0.66,0,0,1.1929
0,MOCKACCT000000000083,10,7-15 months,15140.67,0,0,FL,0,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,1,0,0,0,0,0,0.66,0,0,1.1929
0,MOCKACCT000000000084,18,16-24 months,450000,0,1,TX,1,Mature Years,M1 Financial Elite,The Wealth Market,1,0.79,0,0,0,0,0,0,0.66,0,0,1.3955
0,MOCKACCT000000000085,10,7-15 months,40377.25,0,0,FL,1,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,2,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000086,1,<= 6 months,105294.86,106,9,FL,23,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,476.65,4,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000087,1,<= 6 months,101790.87,106,9,FL,23,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,476.65,4,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000088,1,<= 6 months,105294.7,106,9,FL,23,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,476.65,4,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000089,1,<= 6 months,98600,84,7,TX,6,Younger Years,Y3 Fiscal Fledglings,Frugal Fledglings,1,14758.64,0,0,0,0,0,0,0.66,0,0,0.197666667
1,MOCKACCT000000000090,1,<= 6 months,55872.51,104,8,FL,23,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,476.65,4,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000091,3,<= 6 months,40187.83,12,3,FL,15,Family Life,F1 Flourishing Families,School Daze,2,37530.75,0,0,0,1,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000092,10,7-15 months,104958.06,0,0,FL,3,Family Life,F1 Flourishing Families,School Daze,1,208475.34,4,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000093,10,7-15 months,102956.59,0,0,TX,1,Mature Years,M1 Financial Elite,Business Class,0,0,2,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000094,10,7-15 months,14000,0,0,TX,1,Mature Years,M3 Upscale Empty Nests,Equity Earners,0,0,9,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000095,10,7-15 months,20187.57,0,0,FL,2,Mature Years,M4 Midscale Matures,Pensions & Ports,0,0,1,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000096,10,7-15 months,20187.57,0,0,FL,2,Mature Years,M4 Midscale Matures,Pensions & Ports,1,41337.35,4,0,0,1,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000097,10,7-15 months,15301.24,0,0,FL,1,Family Life,F2 Upscale Earners,Value Seekers,0,0,4,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000098,10,7-15 months,100937.08,0,0,FL,9,Family Life,F1 Flourishing Families,Big Spenders,3,70453.65,1,1,367975.41,1,1,1,0.66,0,0,1.1929
1,MOCKACCT000000000099,10,7-15 months,151405.61,0,0,FL,9,Family Life,F1 Flourishing Families,Big Spenders,3,70453.65,1,1,367975.41,1,1,1,0.66,0,0,1.1929
1,MOCKACCT000000000100,18,16-24 months,20357.8,0,1,FL,9,Unassigned,Unassigned,Unassigned,1,388159.93,1,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000101,10,7-15 months,21534.32,0,0,FL,5,Mature Years,M3 Upscale Empty Nests,Booming Nests,1,9501.92,2,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000102,18,16-24 months,28499.34,0,1,FL,4,Mature Years,M2 Wealthy Achievers,Leasing Luxury,1,359307.17,0,0,0,0,0,0,0.66,0,0,1.4921
0,MOCKACCT000000000103,10,7-15 months,10195.87,0,0,TX,0,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,6,0,0,0,0,0,0.66,0,0,1.09338
0,MOCKACCT000000000104,18,16-24 months,234101.19,0,1,TX,1,Unassigned,Unassigned,Unassigned,0,0,0,0,0,1,0,0,0.66,0,0,1.3955
1,MOCKACCT000000000105,1,<= 6 months,5294.61,173,14,FL,14,Mature Years,M3 Upscale Empty Nests,Home Sweet Equity,0,0,0,0,0,0,0,0,0.66,0,0,0.1965
1,MOCKACCT000000000106,10,7-15 months,20187.42,0,0,FL,1,Family Life,F4 Working-Class USA,Minimum Way,0,0,1,0,0,1,0,1,0.66,0,0,1.1929
1,MOCKACCT000000000107,10,7-15 months,201886.27,0,0,FL,0,Mature Years,M3 Upscale Empty Nests,Early-Bird Specials,0,0,1,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000108,10,7-15 months,100942.87,0,0,FL,1,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,6,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000109,18,16-24 months,10178.89,0,1,FL,1,Mature Years,M2 Wealthy Achievers,Leasing Luxury,0,0,0,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000110,10,7-15 months,50471.57,0,0,FL,1,Mature Years,M1 Financial Elite,Business Class,0,0,1,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000111,10,7-15 months,25234.46,0,0,FL,0,Mature Years,M4 Midscale Matures,Generation Save,0,0,0,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000112,10,7-15 months,100937.83,0,0,FL,0,Mature Years,M3 Upscale Empty Nests,Equity Earners,0,0,0,0,0,1,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000113,7,7-15 months,2233.48,17,10,FL,13,Family Life,F3 Mass Middle Class,Drive-Thru Debits,2,822514.4,0,1,0,1,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000114,10,7-15 months,40375.13,0,0,FL,0,Family Life,F1 Flourishing Families,Leveraged Life,0,0,4,0,0,1,0,1,0.66,0,0,1.1929
1,MOCKACCT000000000115,10,7-15 months,403751.33,0,0,TX,0,Mature Years,M1 Financial Elite,Power Couples,0,0,0,0,0,0,0,0,0.66,0,0,1.09338
1,MOCKACCT000000000116,10,7-15 months,30326.27,0,0,FL,0,Mature Years,M2 Wealthy Achievers,Leasing Luxury,0,0,0,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000117,18,16-24 months,104138.54,0,1,TX,1,Mature Years,M1 Financial Elite,Golden Agers,1,25008.81,3,0,0,0,0,0,0.66,0,0,1.3955
1,MOCKACCT000000000118,12,7-15 months,83540.89,34,26,FL,28,Mature Years,M4 Midscale Matures,Pensions & Ports,0,0,0,0,0,0,0,0,0.66,0,0,1.1929
1,MOCKACCT000000000119,13,7-15 months,11554.04,9,10,TX,10,Mature Years,M4 Midscale Matures,Pensions & Ports,0,0,0,0,0,0,0,1,0.66,0,0,1.09338
1,MOCKACCT000000000120,18,16-24 months,203566.34,0,1,TX,1,Mature Years,M3 Upscale Empty Nests,Equity Earners,0,0,0,0,0,0,0,1,0.66,0,0,1.3955
1,MOCKACCT000000000121,18,16-24 months,103837.82,0,1,FL,9,Mature Years,M1 Financial Elite,Business Class,0,0,2,0,0,0,0,0,0.66,0,0,1.4921
1,MOCKACCT000000000122,18,16-24 months,117284.38,0,1,TX,1,Younger Years,Y3 Fiscal Fledglings,Prudent Peak,0,0,0,0,0,0,0,0,0.66,0,0,1.3955
1,MOCKACCT000000000123,18,16-24 months,250000,0,1,TX,1,Mature Years,M1 Financial Elite,Business Class,0,0,1,0,0,0,0,0,0.66,0,0,1.3955
1,MOCKACCT000000000124,18,16-24 months,250000,0,1,TX,1,Mature Years,M1 Financial Elite,Business Class,0,0,1,0,0,0,0,0,0.66,0,0,1.3955
0,MOCKACCT000000000125,18,16-24 months,10178.31,0,1,FL,4,Mature Years,M5 Retirement Blues,Superstore Shoppers,1,46425.5,6,0,0,0,0,0,0.65,0,0,1.4921
0,MOCKACCT000000000126,10,7-15 months,50468.93,0,0,TX,0,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.65,0,0,1.09338
0,MOCKACCT000000000127,10,7-15 months,56465.86,0,0,FL,10,Family Life,F1 Flourishing Families,Leveraged Life,0,0,2,0,0,0,0,0,0.65,0,0,1.1929
0,MOCKACCT000000000128,12,7-15 months,0,3,8,FL,14,Mature Years,M1 Financial Elite,Business Class,1,720.39,0,0,0,1,1,0,0.65,0,0,1.1929
0,MOCKACCT000000000129,10,7-15 months,100399.93,0,0,FL,0,Unassigned,Unassigned,Unassigned,0,0,0,0,0,1,0,0,0.65,0,0,1.1929
0,MOCKACCT000000000130,7,7-15 months,200196.39,0,0,FL,1,Mature Years,M1 Financial Elite,The Wealth Market,1,202243.54,2,0,0,1,0,0,0.65,0,0,1.1929
0,MOCKACCT000000000131,10,7-15 months,103300.16,1,1,FL,1,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.65,0,0,1.1929
0,MOCKACCT000000000132,10,7-15 months,151623.2,1,1,FL,1,Mature Years,M1 Financial Elite,The Wealth Market,1,202243.54,2,0,0,1,0,0,0.65,0,0,1.1929
1,MOCKACCT000000000133,10,7-15 months,83778.4,0,0,FL,0,Mature Years,M2 Wealthy Achievers,IRA Enthusiast,0,0,0,0,0,1,0,0,0.65,0,0,1.1929
1,MOCKACCT000000000134,10,7-15 months,81763.24,0,0,FL,1,Younger Years,Y1 Upwardly Mobile,McMansions & Merriment,0,0,0,0,0,0,0,0,0.65,0,0,1.1929
0,MOCKACCT000000000135,10,7-15 months,242489.39,1,0,FL,0,Mature Years,M4 Midscale Matures,Generation Save,0,0,0,0,0,0,0,0,0.65,0,0,1.1929
1,MOCKACCT000000000136,18,16-24 months,117046.59,0,1,TX,1,Mature Years,M5 Retirement Blues,Unwired Retired,0,0,0,0,0,0,0,1,0.65,0,0,1.3955
1,MOCKACCT000000000137,18,16-24 months,151351.71,0,1,TX,1,Mature Years,M1 Financial Elite,Golden Agers,2,209920.86,3,0,0,0,0,0,0.65,0,0,1.3955
1,MOCKACCT000000000138,10,7-15 months,20187.57,0,0,TX,1,Unassigned,Unassigned,Unassigned,1,20242.64,1,0,0,0,0,0,0.65,0,0,1.09338
1,MOCKACCT000000000139,10,7-15 months,15140.67,0,0,FL,1,Mature Years,M2 Wealthy Achievers,IRA Enthusiast,1,56498.12,9,0,0,1,0,0,0.65,0,0,1.1929
1,MOCKACCT000000000140,10,7-15 months,15157.5,0,0,FL,1,Mature Years,M2 Wealthy Achievers,IRA Enthusiast,1,56498.12,9,0,0,1,0,0,0.65,0,0,1.1929
1,MOCKACCT000000000141,18,16-24 months,10664.09,0,1,FL,1,Mature Years,M5 Retirement Blues,Fixed Finances,0,0,2,0,0,0,0,0,0.65,0,0,1.4921
1,MOCKACCT000000000142,10,7-15 months,35328.25,0,0,FL,6,Mature Years,M3 Upscale Empty Nests,Equity Earners,1,3060.17,1,1,23901.04,0,0,1,0.65,0,0,1.1929
1,MOCKACCT000000000143,18,16-24 months,76334.07,0,1,FL,1,Family Life,F3 Mass Middle Class,Drive-Thru Debits,0,0,0,0,0,0,0,0,0.65,0,0,1.4921
1,MOCKACCT000000000144,10,7-15 months,41186.69,0,0,FL,1,Mature Years,M2 Wealthy Achievers,Capital Accumulators,0,0,2,0,0,0,0,0,0.65,0,0,1.1929
1,MOCKACCT000000000145,18,16-24 months,46365.76,0,1,FL,1,Mature Years,M3 Upscale Empty Nests,Booming Nests,0,0,9,0,0,0,0,0,0.65,0,0,1.4921
0,MOCKACCT000000000146,18,16-24 months,152928.82,1,1,TX,1,Unassigned,Unassigned,Unassigned,1,101486.63,0,0,0,1,0,0,0.65,0,0,1.3955
1,MOCKACCT000000000147,18,16-24 months,30534.49,0,1,FL,14,Younger Years,Y1 Upwardly Mobile,"Work Hard, Play Hard",3,83584.99,0,1,11850.45,1,0,1,0.65,0,0,1.4921
1,MOCKACCT000000000148,18,16-24 months,134132.21,0,1,FL,10,Mature Years,M3 Upscale Empty Nests,Booming Nests,2,241719.36,0,0,0,0,0,0,0.65,0,0,1.4921
0,MOCKACCT000000000149,10,7-15 months,11103.17,0,0,TX,1,Unassigned,Unassigned,Unassigned,1,71.3,3,0,0,1,0,0,0.66,4976.595,34836.165,1.29208
0,MOCKACCT000000000150,10,7-15 months,250000,0,0,FL,1,Unassigned,Unassigned,Unassigned,0,0,0,0,0,0,0,0,0.66,7442.539,52097.773,1.19168
